Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=28 : (z,n+p) ; MT=41 : (z,2n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.243218 ;  ;  ;  ;  ;  ; 186.6155 ; 
1.248519 ;  ;  ;  ;  ;  ; 206.7222 ; 
1.25382 ;  ;  ;  ;  ;  ; 230.7164 ; 
1.259121 ;  ;  ;  ;  ;  ; 259.6702 ; 
1.264421 ;  ;  ;  ;  ;  ; 295.0098 ; 
1.269722 ;  ;  ;  ;  ;  ; 338.6643 ; 
1.275023 ;  ;  ;  ;  ;  ; 393.1609 ; 
1.280324 ;  ;  ;  ;  ;  ; 461.7569 ; 
1.282975 ;  ;  ;  ;  ;  ; 502.5698 ; 
1.285625 ;  ;  ;  ;  ;  ; 548.4304 ; 
1.288276 ;  ;  ;  ;  ;  ; 599.9428 ; 
1.290926 ;  ;  ;  ;  ;  ; 657.6296 ; 
1.296227 ;  ;  ;  ;  ;  ; 793.6092 ; 
1.301528 ;  ;  ;  ;  ;  ; 959.2194 ; 
1.306828 ;  ;  ;  ;  ;  ; 1154.142 ; 
1.310422 ;  ;  ;  ;  ;  ; 1300.57 ; 
1.314015 ;  ;  ;  ;  ;  ; 1454.812 ; 
1.317609 ;  ;  ;  ;  ;  ; 1612.169 ; 
1.321202 ;  ;  ;  ;  ;  ; 1766.437 ; 
1.328389 ;  ;  ;  ;  ;  ; 2036.968 ; 
1.331982 ;  ;  ;  ;  ;  ; 2138.338 ; 
1.335575 ;  ;  ;  ;  ;  ; 2208.438 ; 
1.341 ;  ;  ;  ;  ;  ; 2245.697 ; 
1.344391 ;  ;  ;  ;  ;  ; 2224.968 ; 
1.347782 ;  ;  ;  ;  ;  ; 2171.623 ; 
1.351173 ;  ;  ;  ;  ;  ; 2088.9 ; 
1.354563 ;  ;  ;  ;  ;  ; 1981.602 ; 
1.359656 ;  ;  ;  ;  ;  ; 1787.011 ; 
1.364748 ;  ;  ;  ;  ;  ; 1571.102 ; 
1.36984 ;  ;  ;  ;  ;  ; 1353.208 ; 
1.374932 ;  ;  ;  ;  ;  ; 1148.331 ; 
1.380024 ;  ;  ;  ;  ;  ; 965.9572 ; 
1.385116 ;  ;  ;  ;  ;  ; 810.3524 ; 
1.390208 ;  ;  ;  ;  ;  ; 681.7476 ; 
