Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
118.6396 ;  ;  ; 29.84801 ;  ; 1.88962E-11
118.7752 ;  ;  ; 32.32323 ;  ; 1.89178E-11
118.9107 ;  ;  ; 35.11535 ;  ; 1.89394E-11
119.0462 ;  ;  ; 38.28253 ;  ; 1.8961E-11
119.1817 ;  ;  ; 41.89405 ;  ; 1.89826E-11
119.359 ;  ;  ; 47.43615 ;  ; 1.90108E-11
119.5362 ;  ;  ; 54.13293 ;  ; 1.9039E-11
119.7134 ;  ;  ; 62.32251 ;  ; 1.90672E-11
119.8906 ;  ;  ; 72.4572 ;  ; 1.90955E-11
119.9793 ;  ;  ; 78.44633 ;  ; 1.91096E-11
120.0679 ;  ;  ; 85.16803 ;  ; 1.91237E-11
120.1565 ;  ;  ; 92.75345 ;  ; 1.91378E-11
120.2451 ;  ;  ; 101.3558 ;  ; 1.91519E-11
120.3337 ;  ;  ; 111.1599 ;  ; 1.9166E-11
120.4223 ;  ;  ; 122.3858 ;  ; 1.91802E-11
120.5109 ;  ;  ; 135.2945 ;  ; 1.91943E-11
120.5995 ;  ;  ; 150.1964 ;  ; 1.92084E-11
120.7137 ;  ;  ; 172.9492 ;  ; 1.92266E-11
120.8278 ;  ;  ; 200.5601 ;  ; 1.92447E-11
120.9419 ;  ;  ; 234.174 ;  ; 1.92629E-11
121.056 ;  ;  ; 275.0218 ;  ; 1.92811E-11
121.1702 ;  ;  ; 324.2842 ;  ; 1.92993E-11
121.2843 ;  ;  ; 382.4952 ;  ; 1.93174E-11
121.3984 ;  ;  ; 449.113 ;  ; 1.93356E-11
121.5125 ;  ;  ; 521.4854 ;  ; 1.93538E-11
121.6344 ;  ;  ; 598.9765 ;  ; 1.93732E-11
121.7563 ;  ;  ; 666.8195 ;  ; 1.93926E-11
121.8782 ;  ;  ; 713.4875 ;  ; 1.9412E-11
121.9391 ;  ;  ; 725.7423 ;  ; 1.94217E-11
122.0 ;  ;  ; 729.586 ;  ; 1.94314E-11
122.0596 ;  ;  ; 724.9898 ;  ; 1.94409E-11
122.1191 ;  ;  ; 712.4018 ;  ; 1.94504E-11
122.2381 ;  ;  ; 666.2603 ;  ; 1.94694E-11
122.3571 ;  ;  ; 599.9835 ;  ; 1.94883E-11
122.4761 ;  ;  ; 524.3054 ;  ; 1.95073E-11
122.5952 ;  ;  ; 448.5448 ;  ; 1.95262E-11
122.7142 ;  ;  ; 379.0796 ;  ; 1.95452E-11
122.8332 ;  ;  ; 318.8272 ;  ; 1.95641E-11
122.9522 ;  ;  ; 268.3568 ;  ; 1.95831E-11
123.0183 ;  ;  ; 244.2884 ;  ; 1.95936E-11
123.0844 ;  ;  ; 222.7814 ;  ; 1.96042E-11
123.1505 ;  ;  ; 203.5939 ;  ; 1.96147E-11
123.2166 ;  ;  ; 186.4839 ;  ; 1.96252E-11
123.3488 ;  ;  ; 157.5927 ;  ; 1.96463E-11
123.481 ;  ;  ; 134.4849 ;  ; 1.96673E-11
123.6132 ;  ;  ; 115.8472 ;  ; 1.96884E-11
123.7454 ;  ;  ; 100.6553 ;  ; 1.97094E-11
123.8776 ;  ;  ; 88.13863 ;  ; 1.97305E-11
124.0097 ;  ;  ; 77.7367 ;  ; 1.97515E-11
124.1136 ;  ;  ; 70.75312 ;  ; 1.97681E-11
124.2175 ;  ;  ; 64.6435 ;  ; 1.97846E-11
124.3214 ;  ;  ; 59.27305 ;  ; 1.98012E-11
124.4252 ;  ;  ; 54.53476 ;  ; 1.98177E-11
124.6329 ;  ;  ; 46.5835 ;  ; 1.98508E-11
124.8406 ;  ;  ; 40.22638 ;  ; 1.98839E-11
125.0484 ;  ;  ; 35.06743 ;  ; 1.9917E-11
