Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.3226142 ;  ;  ; 0.02062685 ;  ;  ; 532.6662 ; 
0.3245032 ;  ;  ; 0.02131293 ;  ;  ; 555.7168 ; 
0.3263922 ;  ;  ; 0.0220506 ;  ;  ; 580.3618 ; 
0.3289682 ;  ;  ; 0.02314881 ;  ;  ; 616.8028 ; 
0.3315441 ;  ;  ; 0.02436674 ;  ;  ; 656.893 ; 
0.3341201 ;  ;  ; 0.02572141 ;  ;  ; 701.1158 ; 
0.336696 ;  ;  ; 0.02723255 ;  ;  ; 750.0241 ; 
0.339272 ;  ;  ; 0.02892354 ;  ;  ; 804.2662 ; 
0.3418479 ;  ;  ; 0.03082151 ;  ;  ; 864.5833 ; 
0.3431359 ;  ;  ; 0.03185795 ;  ;  ; 897.2856 ; 
0.3444238 ;  ;  ; 0.03295843 ;  ;  ; 931.8361 ; 
0.3457118 ;  ;  ; 0.03412794 ;  ;  ; 968.3672 ; 
0.3469997 ;  ;  ; 0.03537151 ;  ;  ; 1007.009 ; 
0.3488888 ;  ;  ; 0.03734149 ;  ;  ; 1067.816 ; 
0.3507778 ;  ;  ; 0.03950223 ;  ;  ; 1133.969 ; 
0.3526668 ;  ;  ; 0.04187506 ;  ;  ; 1206.0 ; 
0.3545558 ;  ;  ; 0.04448329 ;  ;  ; 1284.478 ; 
0.3564448 ;  ;  ; 0.04735213 ;  ;  ; 1370.004 ; 
0.3583338 ;  ;  ; 0.0505086 ;  ;  ; 1463.2 ; 
0.3602228 ;  ;  ; 0.05398108 ;  ;  ; 1564.692 ; 
0.3621118 ;  ;  ; 0.05779865 ;  ;  ; 1675.091 ; 
0.3640178 ;  ;  ; 0.06202968 ;  ;  ; 1796.08 ; 
0.3659237 ;  ;  ; 0.06666915 ;  ;  ; 1927.179 ; 
0.3678297 ;  ;  ; 0.07174199 ;  ;  ; 2068.728 ; 
0.3697356 ;  ;  ; 0.07726621 ;  ;  ; 2220.821 ; 
0.3716416 ;  ;  ; 0.08325225 ;  ;  ; 2383.287 ; 
0.3735475 ;  ;  ; 0.08969736 ;  ;  ; 2555.541 ; 
0.3754535 ;  ;  ; 0.09658477 ;  ;  ; 2736.573 ; 
0.3773594 ;  ;  ; 0.1038776 ;  ;  ; 2924.797 ; 
0.3794348 ;  ;  ; 0.1122121 ;  ;  ; 3135.404 ; 
0.3815102 ;  ;  ; 0.1208517 ;  ;  ; 3348.343 ; 
0.3835856 ;  ;  ; 0.129655 ;  ;  ; 3559.13 ; 
0.385661 ;  ;  ; 0.1384474 ;  ;  ; 3762.537 ; 
0.3877364 ;  ;  ; 0.1470267 ;  ;  ; 3952.786 ; 
0.3898118 ;  ;  ; 0.1551716 ;  ;  ; 4123.845 ; 
0.3918872 ;  ;  ; 0.1626534 ;  ;  ; 4269.784 ; 
0.3939625 ;  ;  ; 0.1692503 ;  ;  ; 4385.175 ; 
0.3954719 ;  ;  ; 0.1733777 ;  ;  ; 4447.292 ; 
0.3969813 ;  ;  ; 0.1768661 ;  ;  ; 4489.508 ; 
0.3984907 ;  ;  ; 0.1796635 ;  ;  ; 4510.908 ; 
0.4 ;  ;  ; 0.1817328 ;  ;  ; 4511.029 ; 
0.4015094 ;  ;  ; 0.1830537 ;  ;  ; 4489.883 ; 
0.4030188 ;  ;  ; 0.1836226 ;  ;  ; 4447.953 ; 
0.4041509 ;  ;  ; 0.1835635 ;  ;  ; 4403.409 ; 
0.4052829 ;  ;  ; 0.1831005 ;  ;  ; 4348.241 ; 
0.4064149 ;  ;  ; 0.1822503 ;  ;  ; 4283.107 ; 
