Incident energy ; MT=16 : (z,2n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
239.1891 ;  ; 9.739373E-4 ;  ; 3.833559E-5
242.6231 ;  ; 8.824334E-4 ;  ; 3.805273E-5
246.0571 ;  ; 8.045824E-4 ;  ; 3.778851E-5
249.4911 ;  ; 7.360361E-4 ;  ; 3.753423E-5
252.9251 ;  ; 6.759966E-4 ;  ; 3.727995E-5
256.3591 ;  ; 6.234715E-4 ;  ; 3.702566E-5
260.5397 ;  ; 5.684223E-4 ;  ; 3.671691E-5
267.7699 ;  ; 4.903086E-4 ;  ; 3.62284E-5
275.0 ;  ; 4.287056E-4 ;  ; 3.574071E-5
283.4902 ;  ; 3.721958E-4 ;  ; 3.522428E-5
290.8703 ;  ; 3.334474E-4 ;  ; 3.478273E-5
298.2616 ;  ; 3.020038E-4 ;  ; 3.434051E-5
305.6528 ;  ; 2.764458E-4 ;  ; 3.389939E-5
313.044 ;  ; 2.557424E-4 ;  ; 3.35114E-5
320.4352 ;  ; 2.389341E-4 ;  ; 3.312432E-5
327.8264 ;  ; 2.255892E-4 ;  ; 3.273724E-5
335.2176 ;  ; 2.151253E-4 ;  ; 3.237703E-5
350.0 ;  ; 2.00717E-4 ;  ; 3.168028E-5
357.6172 ;  ; 1.970913E-4 ;  ; 3.135602E-5
365.2343 ;  ; 1.957389E-4 ;  ; 3.103178E-5
372.7051 ;  ; 1.966683E-4 ;  ; 3.071378E-5
380.1758 ;  ; 1.999825E-4 ;  ; 3.0396E-5
387.6465 ;  ; 2.059021E-4 ;  ; 3.011459E-5
395.1172 ;  ; 2.149463E-4 ;  ; 2.983492E-5
402.5879 ;  ; 2.27623E-4 ;  ; 2.955525E-5
410.0586 ;  ; 2.44736E-4 ;  ; 2.927558E-5
417.5293 ;  ; 2.671782E-4 ;  ; 2.90096E-5
425.0 ;  ; 2.968187E-4 ;  ; 2.876385E-5
431.758 ;  ; 3.324891E-4 ;  ; 2.854155E-5
438.516 ;  ; 3.79192E-4 ;  ; 2.831925E-5
444.512 ;  ; 4.337095E-4 ;  ; 2.812201E-5
447.51 ;  ; 4.6712E-4 ;  ; 2.80234E-5
450.508 ;  ; 5.055747E-4 ;  ; 2.792478E-5
453.506 ;  ; 5.495895E-4 ;  ; 2.783172E-5
456.504 ;  ; 6.012557E-4 ;  ; 2.774441E-5
459.502 ;  ; 6.618832E-4 ;  ; 2.76571E-5
462.5 ;  ; 7.339318E-4 ;  ; 2.756979E-5
465.4455 ;  ; 8.186743E-4 ;  ; 2.748401E-5
468.3909 ;  ; 9.209655E-4 ;  ; 2.739822E-5
471.3364 ;  ; 0.001046032 ;  ; 2.731244E-5
474.2818 ;  ; 0.00120102 ;  ; 2.722666E-5
475.7546 ;  ; 0.001289502 ;  ; 2.718376E-5
477.2273 ;  ; 0.001391916 ;  ; 2.714088E-5
478.7 ;  ; 0.001507799 ;  ; 2.709799E-5
480.1727 ;  ; 0.001639585 ;  ; 2.70551E-5
481.6454 ;  ; 0.001790331 ;  ; 2.701221E-5
483.1181 ;  ; 0.001963876 ;  ; 2.696932E-5
484.5908 ;  ; 0.002165085 ;  ; 2.692643E-5
486.0635 ;  ; 0.002400201 ;  ; 2.688354E-5
488.002 ;  ; 0.002776017 ;  ; 2.68283E-5
488.9712 ;  ; 0.00299784 ;  ; 2.680279E-5
